[program started on Mon Jan  9 22:48:12 2017] 
[command line arguments] 
epoch 100 
ds mnist 
lr 0.1 
bs 1 
dir /home/hiroshi/c++/ML/BNN/binaryGlobal/torch/results 
threads 1 
plot 1 
model model1 
fname chart01 
ac 100 
title Accuracy per epoch 
[----------------------] 
---main--- 
1 setData 784 
2 linear 500 
3 sigmoid 500 
4 linear 10 
5 sigmoid 10 
train accuracy =  0.28 
test accuracy =  0.44 
train accuracy =  0.39 
test accuracy =  0.13 
train accuracy =  0.38 
test accuracy =  0.41 
train accuracy =  0.42 
test accuracy =  0.44 
train accuracy =  0.39 
test accuracy =  0.37 
train accuracy =  0.54 
test accuracy =  0.59 
train accuracy =  0.32 
test accuracy =  0.44 
train accuracy =  0.51 
test accuracy =  0.6 
train accuracy =  0.5 
test accuracy =  0.67 
train accuracy =  0.6 
test accuracy =  0.62 
train accuracy =  0.54 
test accuracy =  0.47 
train accuracy =  0.57 
test accuracy =  0.57 
train accuracy =  0.5 
test accuracy =  0.43 
train accuracy =  0.56 
test accuracy =  0.61 
train accuracy =  0.59 
test accuracy =  0.71 
train accuracy =  0.61 
test accuracy =  0.72 
train accuracy =  0.56 
test accuracy =  0.61 
train accuracy =  0.57 
test accuracy =  0.67 
train accuracy =  0.61 
test accuracy =  0.7 
train accuracy =  0.63 
test accuracy =  0.67 
train accuracy =  0.65 
test accuracy =  0.53 
train accuracy =  0.67 
test accuracy =  0.56 
train accuracy =  0.58 
test accuracy =  0.63 
train accuracy =  0.53 
test accuracy =  0.6 
train accuracy =  0.56 
test accuracy =  0.58 
train accuracy =  0.59 
test accuracy =  0.7 
train accuracy =  0.67 
test accuracy =  0.67 
train accuracy =  0.63 
test accuracy =  0.72 
train accuracy =  0.61 
test accuracy =  0.63 
train accuracy =  0.53 
test accuracy =  0.53 
train accuracy =  0.66 
test accuracy =  0.62 
train accuracy =  0.66 
test accuracy =  0.57 
train accuracy =  0.58 
test accuracy =  0.66 
train accuracy =  0.56 
test accuracy =  0.67 
train accuracy =  0.6 
test accuracy =  0.57 
train accuracy =  0.56 
test accuracy =  0.71 
train accuracy =  0.64 
test accuracy =  0.6 
train accuracy =  0.66 
test accuracy =  0.69 
train accuracy =  0.67 
test accuracy =  0.73 
train accuracy =  0.62 
test accuracy =  0.61 
train accuracy =  0.62 
test accuracy =  0.61 
train accuracy =  0.6 
test accuracy =  0.67 
train accuracy =  0.71 
test accuracy =  0.75 
train accuracy =  0.6 
test accuracy =  0.69 
train accuracy =  0.61 
test accuracy =  0.69 
train accuracy =  0.5 
test accuracy =  0.67 
train accuracy =  0.59 
test accuracy =  0.7 
train accuracy =  0.68 
test accuracy =  0.73 
train accuracy =  0.6 
test accuracy =  0.73 
train accuracy =  0.66 
test accuracy =  0.69 
train accuracy =  0.65 
test accuracy =  0.65 
train accuracy =  0.61 
test accuracy =  0.68 
train accuracy =  0.55 
test accuracy =  0.71 
train accuracy =  0.58 
test accuracy =  0.68 
train accuracy =  0.58 
test accuracy =  0.72 
train accuracy =  0.67 
test accuracy =  0.61 
train accuracy =  0.64 
test accuracy =  0.67 
train accuracy =  0.56 
test accuracy =  0.74 
train accuracy =  0.65 
test accuracy =  0.73 
train accuracy =  0.5 
test accuracy =  0.64 
train accuracy =  0.64 
test accuracy =  0.7 
train accuracy =  0.76 
test accuracy =  0.69 
train accuracy =  0.6 
test accuracy =  0.7 
train accuracy =  0.63 
test accuracy =  0.66 
train accuracy =  0.64 
test accuracy =  0.72 
train accuracy =  0.63 
test accuracy =  0.73 
train accuracy =  0.65 
test accuracy =  0.74 
train accuracy =  0.67 
test accuracy =  0.73 
train accuracy =  0.61 
test accuracy =  0.69 
train accuracy =  0.59 
test accuracy =  0.68 
train accuracy =  0.56 
test accuracy =  0.66 
train accuracy =  0.6 
test accuracy =  0.67 
train accuracy =  0.56 
test accuracy =  0.72 
train accuracy =  0.67 
test accuracy =  0.64 
train accuracy =  0.61 
test accuracy =  0.63 
train accuracy =  0.6 
test accuracy =  0.64 
train accuracy =  0.65 
test accuracy =  0.62 
train accuracy =  0.69 
test accuracy =  0.69 
train accuracy =  0.63 
test accuracy =  0.72 
train accuracy =  0.64 
test accuracy =  0.71 
train accuracy =  0.69 
test accuracy =  0.66 
train accuracy =  0.67 
test accuracy =  0.67 
train accuracy =  0.51 
test accuracy =  0.59 
train accuracy =  0.58 
test accuracy =  0.7 
train accuracy =  0.57 
test accuracy =  0.67 
train accuracy =  0.62 
test accuracy =  0.65 
train accuracy =  0.62 
test accuracy =  0.73 
train accuracy =  0.65 
test accuracy =  0.7 
train accuracy =  0.64 
test accuracy =  0.68 
train accuracy =  0.62 
test accuracy =  0.69 
train accuracy =  0.6 
test accuracy =  0.63 
train accuracy =  0.63 
test accuracy =  0.68 
train accuracy =  0.54 
test accuracy =  0.45 
train accuracy =  0.57 
test accuracy =  0.65 
train accuracy =  0.6 
test accuracy =  0.7 
train accuracy =  0.55 
test accuracy =  0.65 
train accuracy =  0.61 
test accuracy =  0.73 
train accuracy =  0.63 
test accuracy =  0.62 
train accuracy =  0.64 
test accuracy =  0.62 
train accuracy =  0.54 
test accuracy =  0.62 
